HCM2,CONTROL,LOCALE,CCBASIC,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,ADM_RATE_ALL,SATVR25,SATVR75,SAT_AVG_ALL,DISTANCEONLY,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NRA,PCTFLOAN,UG25abv,LO_INC_COMP_ORIG_YR6_RT,MD_INC_COMP_ORIG_YR6_RT,HI_INC_COMP_ORIG_YR6_RT,FIRSTGEN_COMP_ORIG_YR6_RT,PAR_ED_PCT_1STGEN,DEBT_MDN,mn_earn_wne_p8,pct25_earn_wne_p8,pct75_earn_wne_p8,pct90_earn_wne_p8,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,NONCOM_RPY_3YR_RT_SUPP,FIRSTGEN_RPY_3YR_RT_SUPP,PCT_LIBERAL_ARTS,PCT_VOCATIONAL,PCT_RELIGIOUS,COST,PCT_PROFESSIONAL
0,1,12,18,1,0,0,0,0,0,0,0,0,0.8989,370.0,450.0,823.0,0,0.0279,0.9501,0.0089,0.0022,7459.0,7079.0,0.8856,0.2914,0.2923,0.2,1.0,0.0,0.4,0.8204,0.1049,0.27994791666700003,0.33428571428599996,0.4438113561423201,0.315384615385,0.389901823,19500.0,30300.0,13900.0,40800.0,60700.0,0.44471387,0.448163265,0.446488294,0.42201834899999996,0.37379002200000006,0.42358078600000004,0.5346000000000001,0.0629,0.0,18888.0,0.4074
0,1,12,15,0,0,0,0,0,0,0,0,0,0.8673,520.0,640.0,1146.0,0,0.5987,0.259,0.0258,0.0518,17208.0,10170.0,0.9106,0.5377,0.5186,0.6296,0.68,0.6667,0.6522,0.5397,0.2422,0.442340791738,0.46537842189999995,0.5310719010887499,0.43775100401600003,0.345362017,16250.0,42100.0,22900.0,53200.0,74700.0,0.756266667,0.7242562929999999,0.770134228,0.8180592990000001,0.6787487590000001,0.751552795,0.4379,0.0,0.0095,19990.0,0.5805
0,2,12,21,0,0,0,0,0,0,0,0,0,0.7143,421.36,545.2,982.92,0,0.2919,0.4224,0.0093,0.0031,5123.0,3849.0,0.6721,0.6667,0.5075209999999999,1.0,0.4432959999999999,0.40101,0.537621,0.7629,0.8540000000000001,0.297297297297,0.507692307692,0.4842320182592499,0.33333333333299997,0.550314465,10500.0,39300.0,19e3,52700.0,78700.0,0.647249191,0.5977011489999999,0.709090909,0.7880651089776199,0.61328125,0.632653061,0.6301,0.0,0.2603,12300.0,0.1096
0,1,12,15,0,0,0,0,0,0,0,0,0,0.8062,510.0,640.0,1180.0,0,0.7012,0.131,0.0338,0.0364,9352.0,9341.0,0.6555,0.4835,0.4717,0.3529,0.65,0.6667,0.75,0.4728,0.264,0.395626242545,0.47435897435900004,0.52179385908461,0.425076452599,0.33761878100000003,16500.0,45800.0,24200.0,63700.0,80700.0,0.781997919,0.7214043040000001,0.824742268,0.851936219,0.6897880540000001,0.7781569970000001,0.2764,0.0,0.0082,20306.0,0.7152000000000001
0,1,12,18,1,0,0,0,0,0,0,0,0,0.5125,380.0,480.0,830.0,0,0.0161,0.9285,0.0114,0.0015,7393.0,6557.0,0.6641,0.2517,0.2523,0.25,0.0,0.0,0.0,0.8735,0.127,0.17826825127300003,0.220048899756,0.4744507977264004,0.17578772802700002,0.37766465200000005,15854.5,26400.0,12600.0,35400.0,48400.0,0.331198862,0.310875332,0.376106195,0.333333333,0.315996848,0.315737052,0.5449,0.0,0.0,17400.0,0.5733
0,1,13,16,0,0,0,0,0,0,0,0,0,0.5655,490.0,620.0,1171.0,0,0.7865,0.114,0.0313,0.0112,9817.0,9605.0,0.7109,0.6665,0.5661,0.7237,0.7059,0.75,0.6522,0.4148,0.0853,0.48924228250699997,0.564417177914,0.667817083693,0.538116591928,0.260525012,17750.0,44700.0,25200.0,57e3,77400.0,0.8139413000000001,0.7403545359999999,0.8152610440000001,0.890335503,0.7112036340000001,0.786885246,0.40160000000000007,0.07,0.006,26717.0,0.544
0,1,31,22,0,0,0,0,0,0,0,0,0,0.6506760000000001,428.07,537.45,993.84,0,0.7513,0.1064,0.0213,0.0047,6176.0,7672.0,0.4412,0.44204699999999997,0.3356749999999999,0.4155150000000002,0.44220000000000015,0.45237,0.5898980000000001,0.6277,0.6409999999999999,0.52036199095,0.6423841059600001,0.6122344291368599,0.614173228346,0.479041916,14e3,38200.0,20700.0,47900.0,68800.0,0.767649075,0.710144928,0.79787234,0.895833333,0.6921875,0.7800891529999999,0.4941,0.0,0.0077,22418.29,0.5303
0,1,12,18,0,0,0,0,0,0,0,0,0,0.8371,420.0,580.0,970.0,0,0.5532,0.3031,0.0079,0.0245,6817.0,7173.0,0.9262,0.2705,0.2057,0.6667,0.4286,0.0,1.0,0.6476,0.2938,0.28964401294500003,0.39403973509900003,0.46191308529423003,0.34725848564,0.40770791100000003,10750.0,35300.0,18300.0,45300.0,64900.0,0.628856194,0.55311973,0.703459638,0.7816901409999999,0.56147541,0.637096774,0.44850000000000007,0.0,0.0,16556.0,0.621
0,1,13,16,0,0,0,0,0,0,0,0,0,0.8274,520.0,620.0,1215.0,0,0.8543,0.0714,0.0253,0.0213,11324.0,9429.0,0.878,0.6792,0.5095,0.5667,0.5513,0.625,0.5625,0.361,0.0415,0.188,0.180693069307,0.176151761518,0.165794066318,0.196486018,18250.0,47100.0,27800.0,59700.0,80400.0,0.882455377,0.8057553959999999,0.8795962509999999,0.9349297240000001,0.881687014,0.843118383,0.48329999999999995,0.0475,0.0028,23788.0,0.46630000000000005
0,2,12,21,0,0,0,0,0,0,0,0,0,0.6422,520.0,630.0,1177.0,0,0.8103,0.094,0.0305,0.039,9990.0,7513.0,0.6479,0.6192,0.3571,0.4286,0.8182,0.5,1.0,0.4939,0.0152,0.20547945205499998,0.22413793103399998,0.264367816092,0.3274780559492099,0.184914842,21500.0,41500.0,23300.0,52400.0,70500.0,0.84984985,0.7560975609999999,0.8640000000000001,0.8968253970000001,0.848024316,0.859649123,0.5881,0.0,0.0365,44512.0,0.37539999999999996
